ProjectName,score,stage,form,cond,risk,unit,prog,BMP,degflex
Bethune,2.2,A,An,H,OC,OF,No,Yes,L
SR522,5,A,An,H,OC,OF,No,Yes,L
SPU,2.5,A,An,H,OC,OF,No,Yes,L
Boeing,3.8,A,An,H,OC,OF,No,Yes,L
Wilkeson,3.5,A,FlAn,D,H,IC,No,Yes,L
Turner ,5.1,A,FlAn,H,L,IC,No,Yes,L
Geotechnical,4,A,FlAn,D,M,IC,No,Yes,L
SR542Boulder,9.4,EJ,FlAn,D,M,IC,No,Yes,L
SR542Coal,5.1,JA,FlAn,D,M,IC,No,Yes,L
Lummi,14.1,JA,FlAn,D,M,IC,No,Yes,L
ONP ,7.1,JA,FlAn,P,M,IC,No,Yes,L
SeattlePort,2,A,An,H,OC,M,No,Yes,L
Griffen,1.8,A,An,D,OC,OT,No,No,L
Lopex,1.6,A,An,D,OC,OT,No,Yes,L
Bridgehaven,3.6,A,An,D,OC,OT,No,Yes,L
Zornes,1.7,A,An,H,OC,OT,No,No,L
Bremerton,2.4,A,An,H,OC,OT,No,No,L
Sisney,2.1,A,An,H,OC,OT,No,Yes,L
Longfellow,2.7,A,An,H,OC,OT,No,Yes,L
Hartley,1.5,A,An,H,OC,OF,Yes,Yes,L
Glacier,1.4,A,An,H,OC,OF,Yes,Yes,L
Gail,0.9,A,FlAn,H,OC,OF,Yes,Yes,L
Heritage,0.6,A,An,P,OC,OF,Yes,Yes,L
Stillaguamish,5.6,JA,FlAn,D,H,IC,Yes,Yes,L
Bituminous,1.4,A,FlAn,D,M,IC,Yes,Yes,L
Weed,8.7,EJ,FlAn,D,M,IC,Yes,Yes,L
Recycling,2.1,A,An,H,OC,M,Yes,Yes,L
Vernon,9,A,FlAn,H,L,OF,No,Yes,M
Tukwila,6.3,A,An,H,OC,OF,No,Yes,M
Lynden,1.2,A,FlAn,D,M,IC,No,Yes,M
Snohomish,6.1,A,FlAn,D,M,IC,No,Yes,M
I5Inter,9.7,A,FlAn,H,M,IC,No,Yes,M
Whatcom,11.3,JA,FlAn,P,M,IC,No,Yes,M
SR20,8.5,A,An,D,OC,M,No,Yes,M
Thompson,7.4,A,An,H,OC,M,No,No,M
Yeager,1.8,A,An,D,OC,OT,No,Yes,M
Century,5.9,A,An,D,OC,OT,No,Yes,M
Forgotten,10.2,EJ,FlAn,P,L,IC,Yes,Yes,M
