"nitrogen","temp","precip","slope","aspect"
48.2,25,116,13.7,"N"
58.3,21.8,130,8,"S"
53.3,15.6,132,11,"N"
53.9,15.9,102,8.8,"S"
59,23.7,113,9.3,"S"
54,19.7,134,14.2,"S"
52.5,23.4,113,14.4,"N"
50.3,21.2,163,19.8,"N"
51.5,24.4,149,19.9,"S"
64.3,21.5,191,6.8,"S"
62,24.6,161,6.1,"N"
52.4,22.6,118,12.7,"S"
63.5,21,164,5.2,"S"
63.6,21.9,188,8,"S"
48.7,19.3,107,16.2,"N"
58.8,23.6,170,12.4,"N"
52.9,19.4,165,19.7,"N"
45.6,20.1,105,19.8,"S"
56.5,24.6,163,15.2,"S"
47.3,20.3,117,17.5,"N"
57.4,17,137,7.5,"N"
49.3,24.9,112,14.7,"S"
63.6,21.7,187,8.2,"S"
55,18.7,139,9.7,"N"
55.5,17.8,110,9.6,"S"
58.8,19.9,157,10.8,"N"
57.3,15.8,162,16,"S"
60.1,24.5,167,15.1,"S"
64.9,23.9,187,8.8,"N"
53.1,15.3,155,17.3,"S"
58,19.7,128,5.7,"S"
52.7,18.8,148,16.7,"N"
45.4,24.8,126,19.2,"N"
57.1,19.8,146,12.3,"N"
56.5,20.5,126,9.9,"N"
49.6,21.8,129,13.2,"N"
52.5,18.3,158,17.3,"S"
57.1,18.4,174,13.2,"S"
57.9,23.4,169,13,"S"
59.4,17.2,132,8.5,"S"
50,22.5,137,19.8,"S"
